name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
Texas A&M University-Kingsville,Texas,TX,Public,4 Year,8760,8462,17222,20912,29672,20,53100,97500,63,53
Texas Christian University,Texas,TX,Private,4 Year,12804,46950,59754,46950,59754,19,56000,98700,51,9
Texas Tech University,Texas,TX,Public,4 Year,9530,11045,20575,23495,33025,7,56800,106500,54,22
Texas Tech University Health Sciences Center,Texas,TX,Public,4 Year,NA,7911,7911,20361,20361,8,61300,104900,86,3
The King's University,Texas,TX,Private,4 Year,NA,15000,15000,15000,15000,2,63800,116500,33,0
Thomas College,Maine,ME,Private,4 Year,11250,26900,38150,26900,38150,8,46100,81500,49,3
Thomas More College,Kentucky,KY,Private,4 Year,7950,31120,39070,31120,39070,2,50000,90900,56,8
Tougaloo College,Mississippi,MS,Private,4 Year,6643,10790,17433,10790,17433,12,36900,66400,69,18
Towson University,Maryland,MD,Public,4 Year,13034,9940,22974,23208,36242,16,51200,91200,47,15
Transylvania University,Kentucky,KY,Private,4 Year,10460,38750,49210,38750,49210,7,47900,85600,51,25
Trevecca Nazarene University,Tennessee,TN,Private,4 Year,8400,25598,33998,25598,33998,14,45300,81700,65,5
Trine University,Indiana,IN,Private,4 Year,10810,32175,42985,32175,42985,6,55100,100300,56,26
Trinity College,Connecticut,CT,Private,4 Year,14750,56910,71660,56910,71660,5,60100,110900,49,22
Trinity University,Texas,TX,Private,4 Year,13464,42976,56440,42976,56440,11,54900,102900,46,27
Troy University,Alabama,AL,Public,4 Year,8185,12460,20645,22875,31060,11,44500,81500,60,8
Truman State University,Missouri,MO,Public,4 Year,8780,7729,16509,14581,23361,12,47900,85800,48,16
Tufts University,Massachusetts,MA,Private,4 Year,14560,56382,70942,56382,70942,7,65200,118100,49,25
Tuskegee University,Alabama,AL,Private,4 Year,9650,22170,31820,22170,31820,4,54500,93500,61,30
Union University,Tennessee,TN,Private,4 Year,10200,32890,43090,32890,43090,12,46400,83000,59,6
Unity College,Maine,ME,Private,4 Year,10710,29160,39870,29160,39870,15,38200,69500,NA,23
University of Alabama at Birmingham,Alabama,AL,Public,4 Year,6400,10710,17110,24630,31030,8,48600,87200,57,17
University of Alabama in Huntsville,Alabama,AL,Public,4 Year,10094,10714,20808,22362,32456,2,57500,103900,59,45
University of Alaska Anchorage,Alaska,AK,Public,4 Year,12200,7688,19888,23858,36058,2,56000,101000,57,10
University of Alaska Fairbanks,Alaska,AK,Public,4 Year,8930,8087,17017,24257,33187,1,59100,101800,54,20
University of Arizona,Arizona,AZ,Public,4 Year,12550,12487,25037,36386,48936,2,56100,101000,51,23
University of Arkansas,Arkansas,AR,Public,4 Year,11020,9130,20150,25168,36188,1,52500,98000,49,18
University of Arkansas at Little Rock,Arkansas,AR,Public,4 Year,8930,8966,17896,21206,30136,7,45600,80800,55,13
University of Arkansas at Monticello,Arkansas,AR,Public,4 Year,6824,7696,14520,13546,20370,12,43500,78300,61,2
University of Arkansas at Pine Bluff,Arkansas,AR,Public,4 Year,7881,7842,15723,14094,21975,17,40500,70500,67,22
University of Arkansas for Medical Sciences,Arkansas,AR,Public,4 Year,NA,8197,8197,15973,15973,3,51700,89100,84,3
University of Baltimore,Maryland,MD,Public,4 Year,NA,8958,8958,21076,21076,20,51000,89600,56,2
University of Bridgeport,Connecticut,CT,Private,4 Year,13860,32850,46710,32850,46710,13,49900,93600,59,31
University of Central Arkansas,Arkansas,AR,Public,4 Year,6854,8751,15605,15274,22128,10,44900,79800,52,8
University of Central Florida,Florida,FL,Public,4 Year,9617,6368,15985,22467,32084,16,49700,88600,50,16
University of Central Missouri,Missouri,MO,Public,4 Year,8766,7673,16439,14442,23208,16,46900,83300,54,45
University of Central Oklahoma,Oklahoma,OK,Public,4 Year,7970,7488,15458,18376,26346,10,45300,82900,56,8
University of Chicago,Illinois,IL,Private,4 Year,16350,58230,74580,58230,74580,4,64000,114200,41,22
University of Colorado Boulder,Colorado,CO,Public,4 Year,14418,12532,26950,37286,51704,3,57800,109900,48,39
University of Colorado Colorado Springs,Colorado,CO,Public,4 Year,10500,10463,20963,24893,35393,9,52200,90900,53,21
University of Connecticut,Connecticut,CT,Public,4 Year,12874,15730,28604,38098,50972,6,59100,105200,48,24
University of Dallas,Texas,TX,Private,4 Year,12400,40652,53052,40652,53052,21,53000,96400,49,16
University of Dayton,Ohio,OH,Private,4 Year,13580,42900,56480,42900,56480,4,57400,105000,44,33
University of Delaware,Delaware,DE,Public,4 Year,12862,13680,26542,34310,47172,1,58600,105400,43,22
University of Denver,Colorado,CO,Private,4 Year,13005,50556,63561,50556,63561,4,55700,105100,48,12
University of Detroit Mercy,Michigan,MI,Private,4 Year,9496,28000,37496,28000,37496,10,51800,92800,57,13
University of Dubuque,Iowa,IA,Private,4 Year,9930,34110,44040,34110,44040,21,44200,79700,48,7
University of Evansville,Indiana,IN,Private,4 Year,12460,36416,48876,36416,48876,11,50300,89900,54,17
University of Florida,Florida,FL,Public,4 Year,10120,6381,16501,28658,38778,4,55800,102800,52,29
University of Georgia,Georgia,GA,Public,4 Year,10038,11830,21868,30404,40442,3,54400,100700,45,14
University of Hartford,Connecticut,CT,Private,4 Year,12476,40694,53170,40694,53170,7,55200,101600,53,15
University of Hawaii at Hilo,Hawaii,HI,Public,4 Year,11406,7720,19126,20680,32086,5,44000,77200,59,14
University of Hawaii at Manoa,Hawaii,HI,Public,4 Year,13689,11970,25659,34002,47691,3,51600,91600,56,18
University of Holy Cross,Louisiana,LA,Private,4 Year,NA,17300,17300,17300,17300,13,48400,86300,69,3
University of Houston,Texas,TX,Public,4 Year,10270,12506,22776,27956,38226,9,56000,103900,50,24
University of Houston-Clear Lake,Texas,TX,Public,4 Year,NA,8500,8500,24731,24731,23,50700,94800,48,29
University of Idaho,Idaho,ID,Public,4 Year,8880,7864,16744,25500,34380,1,52300,97700,54,22
University of Illinois at Chicago,Illinois,IL,Public,4 Year,12074,13764,25838,26980,39054,7,56300,103800,48,31
University of Illinois at Urbana-Champaign,Illinois,IL,Public,4 Year,11308,15094,26402,31664,42972,3,62600,115300,44,36
University of Indianapolis,Indiana,IN,Private,4 Year,10288,29688,39976,29688,39976,21,47300,84500,55,5
University of Iowa,Iowa,IA,Public,4 Year,11172,9267,20439,31233,42405,3,54100,99400,48,16
University of Kansas,Kansas,KS,Public,4 Year,10350,11148,21498,27358,37708,1,53000,98600,52,16
University of Kentucky,Kentucky,KY,Public,4 Year,12982,12245,25227,29099,42081,1,51700,96400,48,19
University of Louisiana at Lafayette,Louisiana,LA,Public,4 Year,8516,10616,19132,24344,32860,5,48200,92500,52,19
University of Louisiana at Monroe,Louisiana,LA,Public,4 Year,7850,8734,16584,20834,28684,5,48500,92500,65,7
University of Louisville,Kentucky,KY,Public,4 Year,9226,11656,20882,27278,36504,5,49500,87600,50,18
University of Maine,Maine,ME,Public,4 Year,10418,11170,21588,30970,41388,5,52000,95000,50,24
University of Maine at Augusta,Maine,ME,Public,4 Year,NA,7988,7988,17918,17918,12,41600,73100,61,7
University of Maine at Farmington,Maine,ME,Public,4 Year,9726,9666,19392,19778,29504,13,41100,71700,64,5
University of Maine at Fort Kent,Maine,ME,Public,4 Year,8220,8115,16335,12315,20535,11,43500,76300,73,5
University of Maine at Machias,Maine,ME,Public,4 Year,8486,7840,16326,15100,23586,16,37100,66200,47,13
University of Maine at Presque Isle,Maine,ME,Public,4 Year,8406,8035,16441,12235,20641,14,39000,70700,58,6
University of Mary Washington,Virginia,VA,Public,4 Year,11118,12188,23306,27434,38552,10,54200,98200,49,17
University of Memphis,Tennessee,TN,Public,4 Year,9975,9701,19676,21413,31388,8,47200,85800,55,12
University of Miami,Florida,FL,Private,4 Year,14108,50226,64334,50226,64334,6,56200,99600,48,22
University of Mississippi,Mississippi,MS,Public,4 Year,10696,8660,19356,24614,35310,2,48500,89100,55,12
University of Mobile,Alabama,AL,Private,4 Year,9600,22820,32420,22820,32420,19,40600,74100,77,7
University of Montevallo,Alabama,AL,Public,4 Year,9330,12760,22090,25780,35110,22,38900,70700,49,7
University of Mount Union,Ohio,OH,Private,4 Year,10200,31260,41460,31260,41460,22,48300,88500,41,19
University of Nebraska Medical Center,Nebraska,NE,Public,4 Year,NA,11558,11558,28898,28898,3,53400,93000,79,6
University of New England,Maine,ME,Private,4 Year,13990,37620,51610,37620,51610,6,50100,91500,69,7
University of New Haven,Connecticut,CT,Private,4 Year,15900,39270,55170,39270,55170,11,52100,94800,52,25
University of New Orleans,Louisiana,LA,Public,4 Year,10575,9054,19629,13890,24465,7,49900,91600,55,23
University of North Alabama,Alabama,AL,Public,4 Year,9200,10370,19570,18680,27880,18,43000,75600,61,6
University of North Florida,Florida,FL,Public,4 Year,9976,6394,16370,20112,30088,19,48800,86600,51,11
University of North Georgia,Georgia,GA,Public,4 Year,7876,7336,15212,21148,29024,9,47300,85600,51,8
University of Northern Colorado,Colorado,CO,Public,4 Year,11204,9786,20990,21474,32678,12,47700,87100,52,7
University of Northern Iowa,Iowa,IA,Public,4 Year,8948,8938,17886,19480,28428,15,47100,85300,46,8
University of Notre Dame,Indiana,IN,Private,4 Year,15410,53391,68801,53391,68801,2,67000,130500,45,28
University of Oregon,Oregon,OR,Public,4 Year,12963,11898,24861,35478,48441,7,51800,95800,46,13
University of Pennsylvania,Pennsylvania,PA,Private,4 Year,15616,55584,71200,55584,71200,3,72800,133900,41,21
University of Pikeville,Kentucky,KY,Private,4 Year,7800,20950,28750,20950,28750,21,39000,70700,74,11
University of Portland,Oregon,OR,Private,4 Year,13450,45904,59354,45904,59354,3,58500,104900,52,28
University of Puget Sound,Washington,WA,Private,4 Year,12540,49776,62316,49776,62316,8,54200,101300,45,21
University of Richmond,Virginia,VA,Private,4 Year,12250,52610,64860,52610,64860,7,59800,107500,48,13
University of Saint Joseph,Connecticut,CT,Private,4 Year,11428,39173,50601,39173,50601,14,49900,88800,63,9
University of San Diego,California,CA,Private,4 Year,12980,49358,62338,49358,62338,25,58900,109400,48,12
University of San Francisco,California,CA,Private,4 Year,14830,48066,62896,48066,62896,23,60600,109900,52,6
University of Science and Arts of Oklahoma,Oklahoma,OK,Public,4 Year,6350,7215,13565,17565,23915,23,37300,67400,49,11
University of Scranton,Pennsylvania,PA,Private,4 Year,15182,44532,59714,44532,59714,23,56400,99700,42,12
University of South Alabama,Alabama,AL,Public,4 Year,7620,9870,17490,19740,27360,9,47700,86400,56,17
University of Southern California,California,CA,Private,4 Year,15395,56225,71620,56225,71620,11,64500,120600,47,23
University of Southern Maine,Maine,ME,Public,4 Year,9450,9520,18970,22780,32230,9,46900,81300,55,8
University of Southern Mississippi,Mississippi,MS,Public,4 Year,9857,8734,18591,10734,20591,4,45100,83900,56,11
University of the Cumberlands,Kentucky,KY,Private,4 Year,9000,23000,32000,23000,32000,17,39800,73800,63,8
University of the Ozarks,Arkansas,AR,Private,4 Year,7400,24230,31630,24230,31630,14,42300,74500,58,16
University of the Sciences,Pennsylvania,PA,Private,4 Year,15938,25000,40938,25000,40938,8,60700,115200,72,12
University of Toledo,Ohio,OH,Public,4 Year,11434,9795,21229,19133,30567,18,51800,92500,52,21
University of Tulsa,Oklahoma,OK,Private,4 Year,11116,41509,52625,41509,52625,1,58700,107200,51,36
University of Utah,Utah,UT,Public,4 Year,10262,9222,19484,29215,39477,2,54800,102600,57,22
University of Vermont,Vermont,VT,Public,4 Year,12462,18276,30738,42516,54978,2,53200,99400,50,22
University of West Alabama,Alabama,AL,Public,4 Year,8116,10040,18156,18490,26606,17,42700,76100,61,4
University of West Georgia,Georgia,GA,Public,4 Year,10918,7292,18210,20774,31692,15,46700,82700,51,9
University of Wisconsin-Eau Claire,Wisconsin,WI,Public,4 Year,7813,8820,16633,17096,24909,7,52100,93600,46,14
University of Wisconsin-La Crosse,Wisconsin,WI,Public,4 Year,6331,9106,15437,17924,24255,14,49600,88300,53,19
University of Wisconsin-Madison,Wisconsin,WI,Public,4 Year,11114,10555,21669,36805,47919,3,57300,104400,48,33
University of Wisconsin-Milwaukee,Wisconsin,WI,Public,4 Year,10728,11084,21812,22364,33092,9,50600,90300,50,17
University of Wisconsin-Oshkosh,Wisconsin,WI,Public,4 Year,7448,8820,16268,16393,23841,19,47700,84300,52,10
University of Wisconsin-Parkside,Wisconsin,WI,Public,4 Year,8026,7529,15555,15518,23544,24,46000,81400,47,17
University of Wisconsin-Platteville,Wisconsin,WI,Public,4 Year,7580,7571,15151,15421,23001,4,56800,100300,50,38
University of Wisconsin-River Falls,Wisconsin,WI,Public,4 Year,6513,7862,14375,15435,21948,25,47100,81300,52,14
University of Wisconsin-Stout,Wisconsin,WI,Public,4 Year,6924,9457,16381,17423,24347,11,50400,89500,47,14
University of Wisconsin-Whitewater,Wisconsin,WI,Public,4 Year,6786,7692,14478,16265,23051,12,48900,89300,44,8
University of Wyoming,Wyoming,WY,Public,4 Year,10320,5400,15720,17490,27810,1,52400,98800,58,25
Upper Iowa University,Iowa,IA,Private,4 Year,8454,30450,38904,30450,38904,24,44200,78000,56,3
Ursinus College,Pennsylvania,PA,Private,4 Year,12750,52050,64800,52050,64800,18,54400,101800,42,40
Utah State University,Utah,UT,Public,4 Year,6400,7424,13824,21505,27905,4,52400,93900,61,14
Utah Valley University,Utah,UT,Public,4 Year,NA,5726,5726,16296,16296,7,51100,90600,57,12
Valdosta State University,Georgia,GA,Public,4 Year,8110,7476,15586,20958,29068,19,43400,81000,57,7
Valparaiso University,Indiana,IN,Private,4 Year,11860,40260,52120,40260,52120,8,53300,98000,52,31
Vanderbilt University,Tennessee,TN,Private,4 Year,16234,49816,66050,49816,66050,1,65400,119100,48,23
Vermont Technical College,Vermont,VT,Public,4 Year,10598,15108,25706,27780,38378,5,52400,93900,41,4
Villanova University,Pennsylvania,PA,Private,4 Year,14020,53308,67328,53308,67328,7,65100,119500,41,23
Virginia Commonwealth University,Virginia,VA,Public,4 Year,10428,14490,24918,35138,45566,16,49900,88200,52,18
Virginia Military Institute,Virginia,VA,Public,4 Year,9428,18862,28290,45706,55134,2,65900,120600,68,47
Virginia Polytechnic Institute and State University,Virginia,VA,Public,4 Year,8934,13620,22554,31304,40238,4,62700,114000,48,42
Virginia State University,Virginia,VA,Public,4 Year,11208,9056,20264,19576,30784,24,44900,81800,61,14
Viterbo University,Wisconsin,WI,Private,4 Year,9060,27970,37030,27970,37030,22,46800,81900,62,3
Wabash College,Indiana,IN,Private,4 Year,10050,43450,53500,43450,53500,3,62200,114400,40,34
Walla Walla University,Washington,WA,Private,4 Year,4275,28035,32310,28035,32310,11,53700,97800,54,22
Walsh College of Accountancy and Business Administration,Michigan,MI,Private,4 Year,NA,17625,17625,17625,17625,20,49400,85200,42,5
Wartburg College,Iowa,IA,Private,4 Year,9996,41280,51276,41280,51276,12,49300,88000,49,34
Washburn University,Kansas,KS,Public,4 Year,8237,8870,17107,19940,28177,12,47000,83000,54,4
Washington Adventist University,Maryland,MD,Private,4 Year,9370,23900,33270,23900,33270,10,55600,97600,63,9
Washington and Lee University,Virginia,VA,Private,4 Year,13925,52455,66380,52455,66380,1,65900,123200,40,18
Washington College,Maryland,MD,Private,4 Year,12414,46978,59392,46978,59392,14,52800,93500,55,21
Washington State University,Washington,WA,Public,4 Year,11398,11581,22979,26365,37763,5,55900,103700,50,20
Wayne State College,Nebraska,NE,Public,4 Year,7668,6989,14657,12299,19967,18,40600,73400,54,11
Wayne State University,Michigan,MI,Public,4 Year,10427,13347,23774,28241,38668,12,50800,91700,53,21
Weber State University,Utah,UT,Public,4 Year,6279,5831,12110,16585,22864,3,53900,94000,60,8
Webster University,Missouri,MO,Private,4 Year,11050,27900,38950,27900,38950,15,46500,83500,50,2
Wellesley College,Massachusetts,MA,Private,4 Year,16468,53732,70200,53732,70200,18,58900,106200,48,34
Wentworth Institute of Technology,Massachusetts,MA,Private,4 Year,14190,33950,48140,33950,48140,15,62700,112700,53,39
Wesley College,Delaware,DE,Private,4 Year,11717,26406,38123,26406,38123,4,45400,77300,50,2
Wesleyan University,Connecticut,CT,Private,4 Year,15060,54914,69974,54914,69974,3,61600,117000,53,21
Western Connecticut State University,Connecticut,CT,Public,4 Year,13072,10819,23891,22059,35131,15,51700,88100,50,6
Western Governors University,Utah,UT,Private,4 Year,NA,6670,6670,6670,6670,6,54500,91500,57,9
Western Kentucky University,Kentucky,KY,Public,4 Year,8343,10602,18945,26496,34839,8,45500,83100,49,10
Western Michigan University,Michigan,MI,Public,4 Year,10143,12483,22626,15373,25516,11,50900,92200,47,16
Western New England University,Massachusetts,MA,Private,4 Year,13590,36804,50394,36804,50394,20,56400,103000,44,21
Western Oregon University,Oregon,OR,Public,4 Year,10415,9540,19955,26415,36830,20,44500,79300,50,5
Western State Colorado University,Colorado,CO,Public,4 Year,9635,10114,19749,21586,31221,14,44800,81500,47,19
Western Washington University,Washington,WA,Public,4 Year,11466,8132,19598,23544,35010,9,55000,99300,45,16
Whitman College,Washington,WA,Private,4 Year,13174,51764,64938,51764,64938,7,54600,102600,53,33
Whitworth University,Washington,WA,Private,4 Year,11496,43640,55136,43640,55136,17,49900,88800,52,18
Wichita State University,Kansas,KS,Public,4 Year,11252,8271,19523,17452,28704,7,48700,87300,57,24
Widener University,Pennsylvania,PA,Private,4 Year,14446,45948,60394,45948,60394,21,55700,100100,57,13
Willamette University,Oregon,OR,Private,4 Year,12440,50074,62514,50074,62514,6,52200,97700,49,14
William Carey University,Mississippi,MS,Private,4 Year,6810,12600,19410,12600,19410,9,41100,71800,61,6
William Jewell College,Missouri,MO,Private,4 Year,9930,34400,44330,34400,44330,6,51400,94500,60,12
William Penn University,Iowa,IA,Private,4 Year,6952,25600,32552,25600,32552,23,43900,78300,59,7
Williams College,Massachusetts,MA,Private,4 Year,14500,55450,69950,55450,69950,5,67500,127500,47,32
Wilmington University,Delaware,DE,Private,4 Year,NA,11210,11210,11210,11210,5,45100,76600,50,4
Winona State University,Minnesota,MN,Public,4 Year,9010,9425,18435,15348,24358,16,49700,86800,51,10
Wisconsin Lutheran College,Wisconsin,WI,Private,4 Year,10190,29725,39915,29725,39915,20,46200,82500,45,10
Wittenberg University,Ohio,OH,Private,4 Year,10356,39500,49856,39500,49856,3,52400,105400,61,22
Worcester Polytechnic Institute,Massachusetts,MA,Private,4 Year,14774,50530,65304,50530,65304,3,73600,135500,47,86
Xavier University,Ohio,OH,Private,4 Year,12780,38530,51310,38530,51310,16,51800,94000,46,7
Xavier University of Louisiana,Louisiana,LA,Private,4 Year,9047,24488,33535,24488,33535,11,46700,88200,63,35
Yale University,Connecticut,CT,Private,4 Year,16000,53430,69430,53430,69430,1,70300,138300,53,22
